,Frame,X,Y,Z
4275,2138,0.022115065,-0.030453637,0.58410383
4277,2139,0.022115065,-0.030453637,0.58410383
4279,2140,0.022117628,-0.030308792,0.58410859
4281,2141,0.022115065,-0.030453637,0.58410383
4283,2142,0.022115065,-0.030453637,0.58410383
4285,2143,0.022115065,-0.030453637,0.58410383
4287,2144,0.022115065,-0.030453637,0.58410383
4289,2145,0.022115065,-0.030453637,0.58410383
4291,2146,0.022115065,-0.030453637,0.58410383
4293,2147,0.022115065,-0.030453637,0.58410383
4295,2148,0.022115065,-0.030453637,0.58410383
4297,2149,0.022115065,-0.030453637,0.58410383
4299,2150,0.022115065,-0.030453637,0.58410383
4301,2151,0.022115065,-0.030453637,0.58410383
4303,2152,0.022115065,-0.030453637,0.58410383
4305,2153,0.022115065,-0.030453637,0.58410383
4307,2154,0.022117629,-0.030611266,0.58410436
4309,2155,0.022117629,-0.030611266,0.58410436
4311,2156,0.022117629,-0.030611266,0.58410436
4313,2157,0.022117629,-0.030611266,0.58410436
4315,2158,0.022117629,-0.030611266,0.58410436
4317,2159,0.022117629,-0.030611266,0.58410436
4319,2160,0.022117629,-0.030611266,0.58410436
4321,2161,0.022117629,-0.030611266,0.58410436
4323,2162,0.022117629,-0.030611266,0.58410436
4325,2163,0.022407021,-0.030601599,0.58396605
4327,2164,0.022117629,-0.030611266,0.58410436
4329,2165,0.022117629,-0.030611266,0.58410436
4331,2166,0.022117629,-0.030611266,0.58410436
4333,2167,0.022407021,-0.030601599,0.58396605
4335,2168,0.022117629,-0.030611266,0.58410436
4337,2169,0.022407021,-0.030601599,0.58396605
4339,2170,0.022117629,-0.030611266,0.58410436
4341,2171,0.022117629,-0.030611266,0.58410436
4343,2172,0.022407021,-0.030601599,0.58396605
4345,2173,0.02240441,-0.030746408,0.58396127
4347,2174,0.02240441,-0.030746408,0.58396127
4349,2175,0.02240441,-0.030746408,0.58396127
4351,2176,0.02240441,-0.030746408,0.58396127
4353,2177,0.02240441,-0.030746408,0.58396127
4355,2178,0.02240441,-0.030746408,0.58396127
4357,2179,0.02240441,-0.030746408,0.58396127
4359,2180,0.02240441,-0.030746408,0.58396127
4361,2181,0.022115018,-0.030756109,0.58409959
4363,2182,0.02240441,-0.030746408,0.58396127
4365,2183,0.02240441,-0.030746408,0.58396127
4367,2184,0.02240441,-0.030746408,0.58396127
4369,2185,0.02240441,-0.030746408,0.58396127
4371,2186,0.02240441,-0.030746408,0.58396127
4373,2187,0.02240441,-0.030746408,0.58396127
4375,2188,0.02240441,-0.030746408,0.58396127
4377,2189,0.02240441,-0.030746408,0.58396127
4379,2190,0.02240441,-0.030746408,0.58396127
4381,2191,0.02240441,-0.030746408,0.58396127
4383,2192,0.02240441,-0.030746408,0.58396127
4385,2193,0.022407023,-0.030903955,0.58396183
4387,2194,0.022407023,-0.030903955,0.58396183
4389,2195,0.022407023,-0.030903955,0.58396183
4391,2196,0.022407023,-0.030903955,0.58396183
4393,2197,0.022407023,-0.030903955,0.58396183
4395,2198,0.022407023,-0.030903955,0.58396183
4397,2199,0.022407023,-0.030903955,0.58396183
4399,2200,0.022407023,-0.030903955,0.58396183
4401,2201,0.022407023,-0.030903955,0.58396183
4403,2202,0.022407023,-0.030903955,0.58396183
4405,2203,0.022407023,-0.030903955,0.58396183
4407,2204,0.022407023,-0.030903955,0.58396183
4409,2205,0.022407023,-0.030903955,0.58396183
4411,2206,0.022407023,-0.030903955,0.58396183
4413,2207,0.022404364,-0.031048761,0.58395703
4415,2208,0.022407023,-0.030903955,0.58396183
4417,2209,0.022404364,-0.031048761,0.58395703
4419,2210,0.022404364,-0.031048761,0.58395703
4421,2211,0.022404364,-0.031048761,0.58395703
4423,2212,0.022404364,-0.031048761,0.58395703
4425,2213,0.022404364,-0.031048761,0.58395703
4427,2214,0.022404364,-0.031048761,0.58395703
4429,2215,0.022404364,-0.031048761,0.58395703
4431,2216,0.022404364,-0.031048761,0.58395703
4433,2217,0.022404364,-0.031048761,0.58395703
4435,2218,0.022404364,-0.031048761,0.58395703
4437,2219,0.022404364,-0.031048761,0.58395703
4439,2220,0.022404364,-0.031048761,0.58395703
4441,2221,0.022404364,-0.031048761,0.58395703
4443,2222,0.022404364,-0.031048761,0.58395703
4445,2223,0.022404364,-0.031048761,0.58395703
4447,2224,0.022404364,-0.031048761,0.58395703
4449,2225,0.022404364,-0.031048761,0.58395703
4451,2226,0.022404364,-0.031048761,0.58395703
4453,2227,0.022404364,-0.031048761,0.58395703
4455,2228,0.022404364,-0.031048761,0.58395703
4457,2229,0.022404364,-0.031048761,0.58395703
4459,2230,0.022404364,-0.031048761,0.58395703
4461,2231,0.022404364,-0.031048761,0.58395703
4463,2232,0.022404364,-0.031048761,0.58395703
4465,2233,0.022407031,-0.031206307,0.58395761
4467,2234,0.022696279,-0.031196416,0.58381936
4469,2235,0.022407031,-0.031206307,0.58395761
4471,2236,0.022407031,-0.031206307,0.58395761
4473,2237,0.022696279,-0.031196416,0.58381936
4475,2238,0.022696279,-0.031196416,0.58381936
4477,2239,0.022696279,-0.031196416,0.58381936
4479,2240,0.022407031,-0.031206307,0.58395761
4481,2241,0.022407031,-0.031206307,0.58395761
4483,2242,0.022696279,-0.031196416,0.58381936
4485,2243,0.022407031,-0.031206307,0.58395761
4487,2244,0.022696279,-0.031196416,0.58381936
4489,2245,0.022407031,-0.031206307,0.58395761
4491,2246,0.022696279,-0.031196416,0.58381936
4493,2247,0.022696279,-0.031196416,0.58381936
4495,2248,0.022696279,-0.031196416,0.58381936
